iter	Passed	Remaining
1440	200418	3693899
1441	200674	3695921
1442	200935	3698020
1443	201241	3700941
1444	201747	3707539
1445	202286	3714747
1446	202743	3720426
1447	202922	3720996
1448	203100	3721543
1449	203246	3721505
1450	203390	3721444
1451	203564	3721917
1452	203732	3722281
1453	204065	3725662
1454	204897	3738140
1455	205086	3738880
1456	205239	3738966
1457	205403	3739252
1458	205565	3739485
1459	205732	3739813
1460	205879	3739793
1461	206026	3739760
1462	206170	3739669
1463	206319	3739680
1464	206540	3740988
1465	206738	3741884
1466	206960	3743213
1467	207120	3743414
1468	207300	3743969
1469	207470	3744355
1470	207671	3745290
1471	207845	3745736
1472	208102	3747684
1473	208317	3748873
1474	208498	3749440
1475	208678	3750000
1476	208891	3751141
1477	209050	3751315
1478	209268	3752550
1479	209532	3754601
1480	209801	3756744
1481	209983	3757312
1482	210181	3758183
1483	210409	3759579
1484	210591	3760154
1485	210854	3762180
1486	211003	3762155
1487	211168	3762427
1488	211391	3763733
1489	212004	3771977
1490	212336	3775202
1491	212728	3779500
1492	213058	3782679
